PWS Number,System Name,Population Served,System Type,Subpart H,Sample Type,Sample Date,Contam Group ,Code Description,Contam Code,Results ,Unit of Measure,MCL,System Status,Location Code,Remarks
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,FLUORIDE,1025,1,MG/L,4,ACTIVE,AAA,7TH STREET - W7
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,FLUORIDE,1025,1,MG/L,4,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,SODIUM,1052,4,MG/L,160,ACTIVE,AAA,WP#2
1030050,BAY COUNTY WATER SYSTEM,"29,600",C,Y,N,04/16/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,WP#2
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,07/08/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,07/08/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,07/08/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,07/08/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,SODIUM,1052,21,MG/L,160,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,SODIUM,1052,32,MG/L,160,ACTIVE,PLANT,WELL 5
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,PLANT,WELL 6
1030371,WESTROCK CP  LLC - PANAMA CITY MILL,600,P,N,N,11/12/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,PLANT,WELL 5
1030435,LYNN HAVEN  CITY OF WATER SYS.,"19,045",C,Y,N,04/01/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,WP1,WELL 1
1030435,LYNN HAVEN  CITY OF WATER SYS.,"19,045",C,Y,N,04/01/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,WP2,WELL 2
1030435,LYNN HAVEN  CITY OF WATER SYS.,"19,045",C,Y,N,04/01/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,WP2,WELL 2
1030435,LYNN HAVEN  CITY OF WATER SYS.,"19,045",C,Y,N,04/01/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,WP1,WELL 1
1030516,PANAMA CITY RACQUET CLUB,150,N,N,N,09/11/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1030516,PANAMA CITY RACQUET CLUB,150,N,N,N,09/11/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1030568,ST. ANDREWS CREEKSIDE PARK  LLC,85,C,N,N,04/15/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1030568,ST. ANDREWS CREEKSIDE PARK  LLC,85,C,N,N,04/15/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,SODIUM,1052,8,MG/L,160,ACTIVE,AAA,ENTRY PT
1030716,WALLER ELEMENTARY SCHOOL,520,P,N,N,05/14/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,WELL 4
