,PWSID,MAILINGNAME,ADDRESS1,ADDRESS2,CITY,SYSTEMSTATE,ZIP,ZIPFOUR,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
2764,4500014,"WELLINGTON WTP","12300 WEST FOREST HILL BOULEVARD",,WELLINGTON,FL,33414,,26.65484,-80.237962,1,rooftop,12300,"Forest Hill Blvd",,,Wellington,FL,"Palm Beach County",33414,US,"Palm Beach (Public Domain Palm Beach County)"
2765,4500062,"MARALAGO CAY MHP","6255 LAWRENCE RD",,LANTANA,FL,33462,,26.583764,-80.107277,1,rooftop,6255,"Lawrence Rd",,,"Lake Worth",FL,"Palm Beach County",33462,US,"Palm Beach (Public Domain Palm Beach County)"
2766,4500068,"ATLANTIS, CITY OF","260 ORANGE TREE DRIVE",,ATLANTIS,FL,33462,,26.595179,-80.097179,1,rooftop,260,"Orange Tree Dr",,,"Lake Worth",FL,"Palm Beach County",33462,US,"Palm Beach (Public Domain Palm Beach County)"
2767,4500101,"BEDNER LABOR CAMP","14186 STARKEY RD",,"DELRAY BEACH",FL,33446,,26.466699,-80.179144,1,rooftop,14186,"Starkey Rd",,,"Delray Beach",FL,"Palm Beach County",33446,US,"Palm Beach (Public Domain Palm Beach County)"
2768,4500119,"NEW HOPE SOUTH INC ( SUGAR FARMS )","PO BOX 86",,"SOUTH BAY",FL,33493,,26.66396,-80.71617,0.5,place,86,"PO Box",,,"South Bay",FL,"Palm Beach County",33493,US,"TIGER/Line® dataset from the US Census Bureau"
2769,4500130,"BOCA RATON WTP","201 W PALMETTO PARK RD",,"BOCA RATON",FL,33432,,26.351022,-80.09063,1,rooftop,201,"W Palmetto Park Rd",,,"Boca Raton",FL,"Palm Beach County",33432,US,"Palm Beach (Public Domain Palm Beach County)"
2770,4500145,"BOYNTON BEACH PWS","P.O. BOX 310",,"BOYNTON BEACH",FL,33425,310.0,26.645895,-80.430269,0.5,place,310,"PO Box",,,"Boynton Beach",FL,"Palm Beach County",33425,US,"TIGER/Line® dataset from the US Census Bureau"
2771,4500264,"COLONIAL ESTATES MHP","12375 MILITARY TRAIL",,"BOYNTON BEACH",FL,33436,5881.0,26.491835,-80.12579,1,rooftop,12375,"S Military Trl",,,"Boynton Beach",FL,"Palm Beach County",33436,US,"Palm Beach (Public Domain Palm Beach County)"
2772,4500351,"DELRAY BEACH PUBLIC WATER SYSTEM","200 SW 6TH STREET",,"DELRAY BEACH",FL,33444,,26.452041,-80.075363,1,rooftop,200,"SW 6th St",,,"Delray Beach",FL,"Palm Beach County",33444,US,"Palm Beach (Public Domain Palm Beach County)"
2773,4500450,"EVERGLADES YOUTH CAMP","12100 SEMINOLE PRATT WHITNEY ROAD",,"WEST PALM BEACH",FL,33412,,26.855866,-80.30027,1,rooftop,12100,"Seminole Pratt Whitney Rd",,,"West Palm Beach",FL,"Palm Beach County",33412,US,"Palm Beach (Public Domain Palm Beach County)"
2774,4500455,"SEMINOLE MANOR SUBDIVISION","1701 BARBADOS RD",,"LAKE CLARKE SHORES",FL,33406,,26.64976,-80.07576,1,rooftop,1701,"Barbados Rd",,,"West Palm Beach",FL,"Palm Beach County",33406,US,Statewide2
2775,4500466,"LAKE CLARKE SHORES","1701 BARBADOS RD.",,"LAKE CLARKE SHORES",FL,33406,,26.64976,-80.07576,1,rooftop,1701,"Barbados Rd",,,"West Palm Beach",FL,"Palm Beach County",33406,US,Statewide2
2776,4500530,"GOLD COAST CHRISTIAN CAMP","7495 PARK LANE RD.",,"LAKE WORTH",FL,33449,,26.563349,-80.220287,1,rooftop,7495,"Park Lane Rd",,,"Lake Worth",FL,"Palm Beach County",33449,US,"Palm Beach (Public Domain Palm Beach County)"
2777,4500560,"OKEELANTA SUGAR MILL","21250 US 27","MAILING ADDRESS - P.O. BOX 86"," SOUTH BAY",FL,33493,,26.576959,-80.746888,0.89,rooftop,21250,"S US-27",,,Clewiston,FL,"Palm Beach County",33440,US,"Palm Beach (Public Domain Palm Beach County)"
2778,4500565,"GULFSTREAM, TOWN OF","100 SEA ROAD",,GULFSTREAM,FL,33483,,26.500578,-80.054171,1,rooftop,100,"Sea Rd",,,"Delray Beach",FL,"Palm Beach County",33483,US,"Palm Beach (Public Domain Palm Beach County)"
2779,4500609,"HIGHLAND BEACH WATER PLANT","3616 S OCEAN BLVD",,"HIGHLAND BEACH",FL,33487,,26.410022,-80.065255,1,rooftop,3616,"S Ocean Blvd",,,"Highland Beach",FL,"Palm Beach County",33487,US,"Palm Beach (Public Domain Palm Beach County)"
2780,4500634,"PALM LAKE  ESTATES NORTH","7272 42ND WAY N # 676",,"RIVIERA BEACH",FL,33404,,26.783732,-80.104,1,rooftop,7272,"42nd Way N",#,676,"West Palm Beach",FL,"Palm Beach County",33404,US,"Palm Beach (Public Domain Palm Beach County)"
2781,4500717,"WEST JUPITER RV RESORT","17801 N. 130 AVENUE",,JUPITER,FL,33478,,26.939388,-80.239705,1,rooftop,17801,"130th Ave N",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2782,4500773,"LAKE WORTH BEACH UTILITIES","1900 2ND AVE NORTH",,"LAKE WORTH BEACH",FL,33461,4298.0,26.61919,-80.071765,1,rooftop,1900,"2nd Ave N",,,"Lake Worth Beach",FL,"Palm Beach County",33461,US,"Palm Beach (Public Domain Palm Beach County)"
2783,4500784,"LANTANA WATER TREATMENT PLANT","510 WEST PINE STREET",,LANTANA,FL,33462,,26.582261,-80.055558,1,rooftop,510,"W Pine St",,,Lantana,FL,"Palm Beach County",33462,US,"Palm Beach (Public Domain Palm Beach County)"
2784,4500840,"MANALAPAN WTP (LEROY C.PASLAY)","600 S OCEAN BLVD",,MANALAPAN,FL,33462,3398.0,26.580141,-80.039056,1,rooftop,600,"S Ocean Blvd",,,Lantana,FL,"Palm Beach County",33462,US,"Palm Beach (Public Domain Palm Beach County)"
2785,4500841,"MANGONIA PARK, TOWN OF","1755 EAST TIFFANY DR",,"MANGONIA PARK",FL,33407,,26.755429,-80.081944,1,rooftop,1755,"E Tiffany Dr",,,"Mangonia Park",FL,"Palm Beach County",33407,US,"Palm Beach (Public Domain Palm Beach County)"
2786,4501039,"FAITH FARMS MINISTRIES","9538 U.S. 441",,"BOYNTON BEACH",FL,33472,,26.534486,-80.205086,1,range_interpolation,9538,US-441,,,"Cypress Quarters",FL,"Palm Beach County",33472,US,"TIGER/Line® dataset from the US Census Bureau"
2787,4501058,"PALM SPRINGS, VILLAGE OF","226 CYPRESS LANE",,"PALM SPRINGS",FL,33461,1699.0,26.640601,-80.095174,1,rooftop,226,"Cypress Ln",,,"Palm Springs",FL,"Palm Beach County",33461,US,"Palm Beach (Public Domain Palm Beach County)"
2788,4501104,"PINE GROVE VILLAGE","8934 CYPRESS STREET",,"BOYNTON BCH",FL,33436,,26.543527,-80.107126,1,rooftop,8934,"Cypress St",,,"Boynton Beach",FL,"Palm Beach County",33436,US,"Palm Beach (Public Domain Palm Beach County)"
2789,4501124,"SEACOAST UTILITIES AUTHORITY","PO BOX 109602","PLANT @ 1156 RICHARD RD AND 4170 HOOD RD","PALM BEACH GARDENS",FL,33410,9602.0,26.848356,-80.087612,0.5,place,109602,"PO Box",,,"West Palm Beach",FL,"Palm Beach County",33410,US,"TIGER/Line® dataset from the US Census Bureau"
2790,4501229,"RIVIERA BEACH UTILITY DISTRICT, CITY OF","600 W BLUE HERON BLVD",,"RIVIERA BEACH",FL,33404,,26.784507,-80.064798,1,rooftop,600,"W Blue Heron Blvd",,,"Riviera Beach",FL,"Palm Beach County",33404,US,"Palm Beach (Public Domain Palm Beach County)"
2791,4501438,"TEQUESTA PWS, VILLAGE OF","345 TEQUESTA DRIVE",,TEQUESTA,FL,33469,3474.0,26.959368,-80.092732,1,rooftop,345,"Tequesta Dr",,,Jupiter,FL,"Palm Beach County",33469,US,"Palm Beach (Public Domain Palm Beach County)"
2792,4501491,"JUPITER PUBLIC WATER SYSTEM,TOWN OF","17403 CENTRAL BOULEVARD",,JUPITER,FL,33468,,26.932415,-80.133737,1,rooftop,17403,"S Central Blvd",,,Jupiter,FL,"Palm Beach County",33458,US,"Palm Beach (Public Domain Palm Beach County)"
2793,4501520,"US SUGAR CORP-AG OFFICE","35800 CONNERS HWY",,"CANAL POINT",FL,33476,,26.849417,-80.612505,0.89,rooftop,35800,"Conners Hwy",,,Loxahatchee,FL,"Palm Beach County",33470,US,"Palm Beach (Public Domain Palm Beach County)"
2794,4501528,"VILLAGE OF GOLF","21 COUNTRY RD",,"VILLAGE OF GOLF",FL,33436,,26.505959,-80.102041,1,rooftop,21,"Country Rd",,,"Boynton Beach",FL,"Palm Beach County",33436,US,"Palm Beach (Public Domain Palm Beach County)"
2795,4501559,"WEST PALM BEACH WTP","1009 BANYAN BLVD",,"WEST PALM BEACH",FL,33402,,26.714899,-80.062942,1,rooftop,1009,"Banyan Blvd",,,"West Palm Beach",FL,"Palm Beach County",33401,US,"City of West Palm Beach"
2796,4501640,"ATLANTIC SUGAR ASSOCIATION INC.","P. O. BOX 1570",,"BELLE GLADE",FL,33430,,26.702513,-80.677484,1,street_center,,"NW P Pl",,,"Belle Glade",FL,"Palm Beach County",33430,US,"TIGER/Line® dataset from the US Census Bureau"
2797,4501652,"BOBB'S PIANOS & ORGANS","1583 N MILITARY TRAIL",,"WEST PALM BEACH",FL,33409,,26.700583,-80.111397,1,rooftop,1583,"N Military Trl",,,"West Palm Beach",FL,"Palm Beach County",33409,US,Statewide2
2798,4501683,"A. DUDA & SONS,INC(M.HOWELLER)","P. O. BOX # 2015",,"BELLE GLADE",FL,33430,,26.709709,-80.668193,1,range_interpolation,2015,"Belle Glade Rd",,,"Belle Glade",FL,"Palm Beach County",33430,US,"TIGER/Line® dataset from the US Census Bureau"
2799,4504043,"MATHESON TRI GAS","18000 BEELINE HWY",,JUPITER,FL,33478,,26.919528,-80.314823,1,rooftop,18000,"Bee Line Hwy",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2800,4504097,"AIRPORT PLAZA","2424 CONGRESS AVENUE",,"WEST PALM BEACH",FL,33409,,26.692153,-80.086312,1,rooftop,2424,"N Congress Ave",,,"West Palm Beach",FL,"Palm Beach County",33409,US,"Palm Beach (Public Domain Palm Beach County)"
2801,4504140,"PALM BEACH INTERNATIONAL RACEWAY (TRACK)","17047 BEELINE HWY",,"WEST PALM BEACH",FL,33478,,26.918614,-80.307453,1,rooftop,17047,"Bee Line Hwy",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2802,4504223,"OSCEOLA/VERMILLON SUGAR MILL","P. O. BOX # 679",,PAHOKEE,FL,33476,,26.815686,-80.668934,0.7,street_center,,"Pahokee Cir",,,Pahokee,FL,"Palm Beach County",33476,US,"TIGER/Line® dataset from the US Census Bureau"
2803,4504272,"LOXAHATCHEE NATIONAL WILDLIFE REFUGE","10216 LEE ROAD",,"BOYNTON BEACH",FL,33473,,26.497522,-80.216655,1,rooftop,10216,"Lee Rd",,,"Boynton Beach",FL,"Palm Beach County",33473,US,"Palm Beach (Public Domain Palm Beach County)"
2804,4504285,"SUNSHINE MEADOWS","16668 WINNERS CIRCLE",,"DELRAY BEACH",FL,33447,,26.424825,-80.219065,1,rooftop,16668,"Winners Cir",,,"Delray Beach",FL,"Palm Beach County",33446,US,"Palm Beach (Public Domain Palm Beach County)"
2805,4504287,"PALM LAKE  ESTATES SOUTH","7272 42ND WAY NORTH",,"RIVIERA BCH",FL,33404,,26.783732,-80.104,1,rooftop,7272,"42nd Way N",,,"West Palm Beach",FL,"Palm Beach County",33404,US,"Palm Beach (Public Domain Palm Beach County)"
2806,4504362,"JOURNEY CHURCH A/K/A JUP. FARMS COMMUNI","12600 INDIANTOWN ROAD WEST",,JUPITER,FL,33478,4678.0,26.941802,-80.233019,1,rooftop,12600,"Indiantown Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2807,4504393,"PALM BEACH COUNTY WATER UTILITIES","8100 FOREST HILL BLVD","P.O. BOX 16097","WEST PALM BEACH",FL,33416,6097.0,26.643474,-80.172212,1,rooftop,8100,"Forest Hill Blvd",,,"West Palm Beach",FL,"Palm Beach County",33413,US,"Palm Beach (Public Domain Palm Beach County)"
2808,4504396,"WHISPERING PINES MHP","7900 LAWRENCE ROAD",,"BOYNTON BEACH",FL,33436,,26.559103,-80.102536,1,rooftop,7900,"Lawrence Rd",,,"Boynton Beach",FL,"Palm Beach County",33436,US,"Palm Beach (Public Domain Palm Beach County)"
2809,4504462,"THE FARMS MARKET PLACE, LLC","16891 JUPITER FARMS RD.",,JUPITER,FL,33478,,26.923934,-80.192154,1,rooftop,16891,"Jupiter Farms Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2810,4504516,"PALM BEACH PARK OF COMMERCE","15132 PARK OF COMMERCE BLVD","SUITE 101",JUPITER,FL,33478,,26.90045,-80.273446,1,rooftop,15132,"Park of Commerce Blvd",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2811,4504521,"ABC MONTESSORI OF JUPITER FARMS","17963 103RD TERRACE",,JUPITER,FL,33478,,26.941344,-80.19627,1,rooftop,17963,"103rd Ter N",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2812,4504522,"KINGDOM HALL OF JEHOVAH'S WIT.","16571 VELAZQUEZ ROAD",,LOXAHATCHEE,FL,33470,,26.689097,-80.307943,1,rooftop,16571,"Velazquez Rd",,,Loxahatchee,FL,"Palm Beach County",33470,US,"Palm Beach (Public Domain Palm Beach County)"
2813,4504529,"M&A BROTHERS REALTY NO. 38, INC","4567 S CONGRESS AVENUE",,"LAKE WORTH",FL,33461,,26.609178,-80.089802,1,rooftop,4567,"S Congress Ave",,,"Palm Springs",FL,"Palm Beach County",33461,US,"Palm Beach (Public Domain Palm Beach County)"
2814,4504530,"THREE AMIGOS","9860 W.BOYNTON BEACH BLVD.",,"BOYNTON BEACH",FL,33472,,26.527333,-80.202618,1,rooftop,9860,"Boynton Beach Blvd",,,"Boynton Beach",FL,"Palm Beach County",33472,US,"Palm Beach (Public Domain Palm Beach County)"
2815,4504533,"FLORIDA SPACE CENTER","1830 HYPOLUXO ROAD",,"LAKE WORTH",FL,33462,4057.0,26.571248,-80.07107,1,rooftop,1830,"Hypoluxo Rd",,,"Lake Worth",FL,"Palm Beach County",33462,US,"Palm Beach (Public Domain Palm Beach County)"
2816,4504664,"JUPITER FARMS COMMUNITY ELEMENTARY SCHOO","17400 HAYNIE LANE",,JUPITER,FL,33478,,26.933621,-80.218203,1,rooftop,17400,"Haynie Ln",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2817,4504696,"IGLESIA DE ADORACION FAMILIAR","12265 INDIANTOWN ROAD",,JUPITER,FL,33478,,26.943145,-80.227956,1,rooftop,12265,"Indiantown Rd",,,Jupiter,FL,"Palm Beach County",33478,US,"Palm Beach (Public Domain Palm Beach County)"
2818,4504712,"STAR OF DAVID  A/K/A MENORAH GARDENS","9321 MEMORIAL  PARK RD.",,"WEST PALM BEACH",FL,33412,,26.815167,-80.213576,1,rooftop,9321,"Memorial Park Rd",,,"Palm Beach Gardens",FL,"Palm Beach County",33412,US,"Palm Beach (Public Domain Palm Beach County)"
2819,4504718,"FOUR POINTS MARKET","9975  STATE ROAD #7",,"BOYNTON BEACH",FL,33473,,26.528542,-80.206313,0.99,rooftop,9975,"S State Road 7",#,7,"Boynton Beach",FL,"Palm Beach County",33472,US,"Palm Beach (Public Domain Palm Beach County)"
2820,4504903,"SEMINOLE IMPROVEMENT DISTRICT","4001 SEMINOLE PRATT WHITNEY RD","SEMINOLE IMPROVEMENT DISTRICT",WESTLAKE,FL,33414,,26.645659,-80.25144,0.25,place,,,,,"West Palm Beach",FL,"Palm Beach County",33414,US,"TIGER/Line® dataset from the US Census Bureau"
