,PWSID,MAILINGNAME,ADDRESS1,ADDRESS2,CITY,SYSTEMSTATE,ZIP,ZIPFOUR
2764,4500014,WELLINGTON WTP,12300 WEST FOREST HILL BOULEVARD,,WELLINGTON,FL,33414,
2765,4500062,MARALAGO CAY MHP,6255 LAWRENCE RD,,LANTANA,FL,33462,
2766,4500068,"ATLANTIS, CITY OF",260 ORANGE TREE DRIVE,,ATLANTIS,FL,33462,
2767,4500101,BEDNER LABOR CAMP,14186 STARKEY RD,,DELRAY BEACH,FL,33446,
2768,4500119,NEW HOPE SOUTH INC ( SUGAR FARMS ),PO BOX 86,,SOUTH BAY,FL,33493,
2769,4500130,BOCA RATON WTP,201 W PALMETTO PARK RD,,BOCA RATON,FL,33432,
2770,4500145,BOYNTON BEACH PWS,P.O. BOX 310,,BOYNTON BEACH,FL,33425,310.0
2771,4500264,COLONIAL ESTATES MHP,12375 MILITARY TRAIL,,BOYNTON BEACH,FL,33436,5881.0
2772,4500351,DELRAY BEACH PUBLIC WATER SYSTEM,200 SW 6TH STREET,,DELRAY BEACH,FL,33444,
2773,4500450,EVERGLADES YOUTH CAMP,12100 SEMINOLE PRATT WHITNEY ROAD,,WEST PALM BEACH,FL,33412,
2774,4500455,SEMINOLE MANOR SUBDIVISION,1701 BARBADOS RD,,LAKE CLARKE SHORES,FL,33406,
2775,4500466,LAKE CLARKE SHORES,1701 BARBADOS RD.,,LAKE CLARKE SHORES,FL,33406,
2776,4500530,GOLD COAST CHRISTIAN CAMP,7495 PARK LANE RD.,,LAKE WORTH,FL,33449,
2777,4500560,OKEELANTA SUGAR MILL,21250 US 27,MAILING ADDRESS - P.O. BOX 86, SOUTH BAY,FL,33493,
2778,4500565,"GULFSTREAM, TOWN OF",100 SEA ROAD,,GULFSTREAM,FL,33483,
2779,4500609,HIGHLAND BEACH WATER PLANT,3616 S OCEAN BLVD,,HIGHLAND BEACH,FL,33487,
2780,4500634,PALM LAKE  ESTATES NORTH,7272 42ND WAY N # 676,,RIVIERA BEACH,FL,33404,
2781,4500717,WEST JUPITER RV RESORT,17801 N. 130 AVENUE,,JUPITER,FL,33478,
2782,4500773,LAKE WORTH BEACH UTILITIES,1900 2ND AVE NORTH,,LAKE WORTH BEACH,FL,33461,4298.0
2783,4500784,LANTANA WATER TREATMENT PLANT,510 WEST PINE STREET,,LANTANA,FL,33462,
2784,4500840,MANALAPAN WTP (LEROY C.PASLAY),600 S OCEAN BLVD,,MANALAPAN,FL,33462,3398.0
2785,4500841,"MANGONIA PARK, TOWN OF",1755 EAST TIFFANY DR,,MANGONIA PARK,FL,33407,
2786,4501039,FAITH FARMS MINISTRIES,9538 U.S. 441,,BOYNTON BEACH,FL,33472,
2787,4501058,"PALM SPRINGS, VILLAGE OF",226 CYPRESS LANE,,PALM SPRINGS,FL,33461,1699.0
2788,4501104,PINE GROVE VILLAGE,8934 CYPRESS STREET,,BOYNTON BCH,FL,33436,
2789,4501124,SEACOAST UTILITIES AUTHORITY,PO BOX 109602,PLANT @ 1156 RICHARD RD AND 4170 HOOD RD,PALM BEACH GARDENS,FL,33410,9602.0
